GET http://localhost:8080/tienda1/index.jsp HTTP/1.1
,User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)
,Accept-Encoding: x-gzip, x-deflate, gzip, deflate
,Cache-control: no-cache
,0.9,text/plain;q=0.8,image/png,*/*;q=0.5
,Accept-Encoding: x-gzip, x-deflate, gzip, deflate
,0.5, *;q=0.5
,Accept-Language: en
,Host: localhost:8080
,Connection: close
,Connection: close
,,
,
,1&nombre=Jam%F3n+Ib%E9rico&precio=39&cantidad=41&B1=A%F1adir+al+carrito HTTP/1.1
,User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)
,Pragma: no-cache
,Cache-control: no-cache
,
,
0.5, *;q=0.5
,Accept-Language: en
,Connection: close
,54E25FF4B7F0E4E855B112F882E9EEA5
,Connection: close
,
,
,POST http://localhost:8080/tienda1/publico/anadir.jsp HTTP/1.1
,User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)
,Cache-control: no-cache
,Cache-control: no-cache
,,0.9,text/plain;q=0.8,image/png,*/*;q=0.5
,Accept-Encoding: x-gzip, x-deflate, gzip, deflate
,0.5, *;q=0.5
,Accept-Language: en
,Host: localhost:8080
,788887A0F479749C4CEEA1E268B4A501
,0.9,text/plain;q=0.8,image/png,*/*;q=0.5
,
Content-Length: 74
,
,User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)
,
,entrar&login=caria&pwd=egipciaca&remember=off&B1=Entrar HTTP/1.1
,User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)
,Pragma: no-cache
,Cache-control: no-cache
,0.9,text/plain;q=0.8,image/png,*/*;q=0.5
,0.5, *;q=0.5
,0.5, *;q=0.5
,,Accept-Language: en
,Host: localhost:8080
,94ECD5EE8EF7EFE4BB26C701B150ED7B
,Connection: close
,
,
,Accept-Language: en
,
Pragma: no-cache
,Cache-control: no-cache
,0.9,text/plain;q=0.8,image/png,*/*;q=0.5
,Accept-Encoding: x-gzip, x-deflate, gzip, deflate
,0.5, *;q=0.5
,Accept-Language: en
,Host: localhost:8080
,23391DBBADEC19FE01E02D201F278C6A
,Content-Type: application/x-www-form-urlencoded
,Content-Length: 60
,Content-Length: 60
,,
,entrar&login=caria&pwd=egipciaca&remember=off&B1=Entrar
,
,2 HTTP/1.1
,User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)
,Pragma: no-cache
,
,
Accept-Encoding: x-gzip, x-deflate, gzip, deflate
,0.5, *;q=0.5
,Content-Type: application/x-www-form-urlencoded
,Host: localhost:8080
,98D39BB41546D2A0C7E89F02B01A97F8
,Connection: close
,
,
,POST http://localhost:8080/tienda1/publico/caracteristicas.jsp HTTP/1.1
,Pragma: no-cache
,Pragma: no-cache
,,Cache-control: no-cache
,0.9,text/plain;q=0.8,image/png,*/*;q=0.5
,Accept-Encoding: x-gzip, x-deflate, gzip, deflate
,0.5, *;q=0.5
,Accept-Language: en
,Host: localhost:8080
,Cache-control: no-cache
,
Connection: close
,Content-Length: 4
,Credenciales+incorrectas HTTP/1.1
,2
,
,GET http://localhost:8080/tienda1/publico/carrito.jsp HTTP/1.1
,User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)
,Pragma: no-cache
,Cache-control: no-cache
,Accept-Encoding: x-gzip, x-deflate, gzip, deflate
,Accept-Encoding: x-gzip, x-deflate, gzip, deflate
,,0.5, *;q=0.5
,Accept-Language: en
,Host: localhost:8080
,CBAFAE97F1CE14D899201A5E2C5BE9BD
,Connection: close
,
,0.5, *;q=0.5
,
User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)
,Pragma: no-cache
,0.5, *;q=0.5
,0.9,text/plain;q=0.8,image/png,*/*;q=0.5
,Accept-Encoding: x-gzip, x-deflate, gzip, deflate
,0.5, *;q=0.5
,Accept-Language: en
,Host: localhost:8080
,95C9B50C46067E48242868D8C73A2000
,
,
,,
,POST http://localhost:8080/tienda1/publico/entrar.jsp HTTP/1.1
,User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)
,Pragma: no-cache
,Cache-control: no-cache
,0.9,text/plain;q=0.8,image/png,*/*;q=0.5
,
,
Accept-Language: en
,Host: localhost:8080
,,Content-Type: application/x-www-form-urlencoded
,Connection: close
,Content-Length: 33,,,,,,,,,,,,,,
